Accession,Description,X..Unique.Peptides,X126.127_N_norm_log2,X126.127_C_norm_log2,X126.128_N_norm_log2,X126.128_C_norm_log2,X126.129_N_norm_log2,X126.129_C_norm_log2,X126.130_N_norm_log2,X126.130_C_norm_log2,X126.131_norm_log2
P39656,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=Homo sapiens GN=DDOST PE=1 SV=4 - [OST48_HUMAN],2,0.1168813,0.565746944,0.291622588,0.33268879,0.149664851,0.099953785,0.059668826,0.147452001,0.403547092
P13674,Prolyl 4-hydroxylase subunit alpha-1 OS=Homo sapiens GN=P4HA1 PE=1 SV=2 - [P4HA1_HUMAN],2,0.201369171,-0.099403734,-0.060957544,0.163911974,0.398146502,0.37609707,0.198862112,0.177896872,0.396608662
P30153,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform OS=Homo sapiens GN=PPP2R1A PE=1 SV=4 - [2AAA_HUMAN],3,-0.557826371,0.356605547,-0.038356115,0.098763973,-0.038474148,-0.201633861,-0.022324547,-0.480890047,0.396608662
Q13177,Serine/threonine-protein kinase PAK 2 OS=Homo sapiens GN=PAK2 PE=1 SV=3 - [PAK2_HUMAN],5,0.328002609,0.231599185,0.290432736,0.184424571,0.378062256,0.371255807,0.213265177,0.256075548,0.388637951
Q9Y6G9,Cytoplasmic dynein 1 light intermediate chain 1 OS=Homo sapiens GN=DYNC1LI1 PE=1 SV=3 - [DC1L1_HUMAN],5,-0.544447341,-0.155908104,0.325708211,-0.069136193,-0.547487795,-0.461785758,-0.139443189,-0.449525876,0.383633801
P67809,Nuclease-sensitive element-binding protein 1 OS=Homo sapiens GN=YBX1 PE=1 SV=3 - [YBOX1_HUMAN],5,0.457770484,0.233171605,-0.071627287,0.179323699,0.104200819,0.193428938,0.292273051,0.40649239,0.376598702
Q00325,"Phosphate carrier protein, mitochondrial OS=Homo sapiens GN=SLC25A3 PE=1 SV=2 - [MPCP_HUMAN]",2,0.128065039,0.159005587,0.617114361,0.07698703,0.28764696,0.079322453,0.213265177,0.669526796,0.368516355
P56192,"Methionine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=MARS PE=1 SV=2 - [SYMC_HUMAN]",3,0.412752946,0.397848529,0.607591587,0.175913071,0.523307983,0.349266803,0.392712953,0.448720626,0.368516355
P51991,Heterogeneous nuclear ribonucleoprotein A3 OS=Homo sapiens GN=HNRNPA3 PE=1 SV=2 - [ROA3_HUMAN],2,-0.188303531,-1.050758025,-1.312496311,0.464332796,0.960025389,0.935869663,-0.260267972,-0.30218416,0.366488674
P20962,Parathymosin OS=Homo sapiens GN=PTMS PE=1 SV=2 - [PTMS_HUMAN],2,-0.052692894,-0.300839708,-0.317930197,0.143103512,-0.147467332,-0.268061223,0.096393955,-0.054010935,0.365473764
P09651,Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens GN=HNRNPA1 PE=1 SV=5 - [ROA1_HUMAN],2,0.497119152,0.180354907,0.07654598,0.306415096,0.565360364,0.137503524,0.367177861,0.333243408,0.363441798
Q12792,Twinfilin-1 OS=Homo sapiens GN=TWF1 PE=1 SV=3 - [TWF1_HUMAN],4,0.125277221,0.300714346,0.188088524,0.153545258,0.543485865,0.244622369,0.203679128,0.167819799,0.362424742
Q96EI5,Transcription elongation factor A protein-like 4 OS=Homo sapiens GN=TCEAL4 PE=1 SV=2 - [TCAL4_HUMAN],2,-0.143909411,0.255007407,0.227167843,0.139606067,0.128448365,0.187932951,0.080768946,0.022542569,0.352214543
Q9NUQ9,Protein FAM49B OS=Homo sapiens GN=FAM49B PE=1 SV=1 - [FA49B_HUMAN],3,-0.140550399,0.492796933,0.164901854,-0.001930027,-0.173580172,-0.47045062,-0.27025206,-0.050085231,0.350163803
P14625,Endoplasmin OS=Homo sapiens GN=HSP90B1 PE=1 SV=1 - [ENPL_HUMAN],4,-0.130520034,0.183611556,0.086177742,0.116663644,0.214024097,0.265645619,-0.033617716,-0.085807154,0.350163803
Q9Y265,RuvB-like 1 OS=Homo sapiens GN=RUVBL1 PE=1 SV=1 - [RUVB1_HUMAN],2,0.451106754,0.2410081,-0.050366133,0.383842878,0.645957372,0.505449131,0.515957053,0.315096061,0.34913734
Q12905,Interleukin enhancer-binding factor 2 OS=Homo sapiens GN=ILF2 PE=1 SV=2 - [ILF2_HUMAN],2,0.030119988,0.082564781,0.172672223,0.07515736,0.282853949,0.319416876,0.21087463,0.09168873,0.345024165
Q9NTI5,Sister chromatid cohesion protein PDS5 homolog B OS=Homo sapiens GN=PDS5B PE=1 SV=1 - [PDS5B_HUMAN],4,-0.205748665,0.092993947,0.198275292,0.001927449,-0.193479729,-0.009439696,-0.148622616,-0.475615105,0.343994036
Q92945,Far upstream element-binding protein 2 OS=Homo sapiens GN=KHSRP PE=1 SV=4 - [FUBP2_HUMAN],3,0.323145046,-0.052672683,-0.083918692,0.053018382,0.584962501,0.231325546,0.303535365,0.386354745,0.333652092
P32969,60S ribosomal protein L9 OS=Homo sapiens GN=RPL9 PE=1 SV=1 - [RL9_HUMAN],2,0.074152756,0.486218285,0.452400216,0.349437944,0.334721121,0.24726709,0.369323132,0.296717532,0.333652092
P02795,Metallothionein-2 OS=Homo sapiens GN=MT2A PE=1 SV=1 - [MT2_HUMAN],2,-0.281412935,0.209403439,0.120061287,0.160464672,0.201379888,0.239318337,0.0463228,-0.061894534,0.330534997
P62829,60S ribosomal protein L23 OS=Homo sapiens GN=RPL23 PE=1 SV=1 - [RL23_HUMAN],4,0.018147347,0.843062502,0.340730402,0.483772676,0.014528774,0.099953785,0.206081618,0.315096061,0.329494467
P08183,Multidrug resistance protein 1 OS=Homo sapiens GN=ABCB1 PE=1 SV=3 - [MDR1_HUMAN],9,-0.030762254,0.328930588,0.145290836,0.309531069,0.275634443,0.24726709,0.179431582,0.105832912,0.329494467
Q9HAV7,"GrpE protein homolog 1, mitochondrial OS=Homo sapiens GN=GRPEL1 PE=1 SV=2 - [GRPE1_HUMAN]",5,-0.164229396,0.018355146,-0.002914536,0.121990524,-0.118644496,-0.234465254,0.147287946,-0.297522782,0.328453185
Q03001,Dystonin OS=Homo sapiens GN=DST PE=1 SV=4 - [DYST_HUMAN],3,-0.062194762,0.448812985,0.612360831,0.260460462,0.292424101,0.215205881,0.278641186,-0.106041637,0.326368366
P68363,Tubulin alpha-1B chain OS=Homo sapiens GN=TUBA1B PE=1 SV=1 - [TBA1B_HUMAN],2,0.196065139,0.68888383,-0.010226742,0.089730161,0.076772331,0.111611991,0.264879285,0.177896872,0.324280529
Q9UBG0,C-type mannose receptor 2 OS=Homo sapiens GN=MRC2 PE=1 SV=2 - [MRC2_HUMAN],2,0.473200525,0.362364816,0.356735107,0.532590324,0.337034987,0.388129626,0.476697623,0.342232191,0.323235476
Q6PIU2,Neutral cholesterol ester hydrolase 1 OS=Homo sapiens GN=NCEH1 PE=1 SV=3 - [NCEH1_HUMAN],2,0.166539187,-0.113323711,0.122737902,0.52858469,-0.112316877,-0.038135129,-0.345659463,0.210987658,0.322189666
Q15021,Condensin complex subunit 1 OS=Homo sapiens GN=NCAPD2 PE=1 SV=3 - [CND1_HUMAN],6,0.044947406,0.038279688,0.154475828,0.22459501,0.316075369,0.24197279,0.181874758,0.015067448,0.322189666
P05166,"Propionyl-CoA carboxylase beta chain, mitochondrial OS=Homo sapiens GN=PCCB PE=1 SV=3 - [PCCB_HUMAN]",2,-0.198745277,0.120442005,-0.024963285,0.155278225,0.301931186,0.171318237,0.070257461,-0.198607756,0.320095769
P55084,"Trifunctional enzyme subunit beta, mitochondrial OS=Homo sapiens GN=HADHB PE=1 SV=3 - [ECHB_HUMAN]",3,0.02713613,-0.273788383,-0.24710886,0.007694392,0.074000581,-0.044590151,-0.068037521,0.022542569,0.319047679
P49721,Proteasome subunit beta type-2 OS=Homo sapiens GN=PSMB2 PE=1 SV=1 - [PSB2_HUMAN],4,0.024146087,0.679687336,0.62751732,0.123761789,0.531413032,0.331929487,0.394820616,-0.042265727,0.319047679
P13639,Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4 - [EF2_HUMAN],2,0.462195933,-0.02233895,-0.096315719,0.391214866,0.515157142,0.525197356,0.330211534,0.576099932,0.316949213
P61204,ADP-ribosylation factor 3 OS=Homo sapiens GN=ARF3 PE=1 SV=2 - [ARF3_HUMAN],2,-0.009159999,0.629226001,-0.137357951,0.143103512,0.173166286,0.212501672,0.310250792,0.342232191,0.311689656
P05023,Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens GN=ATP1A1 PE=1 SV=1 - [AT1A1_HUMAN],7,0.119685373,0.318599224,0.520964502,0.186120862,0.413576542,0.334419039,0.369323132,0.240134004,0.309580452
P27694,Replication protein A 70 kDa DNA-binding subunit OS=Homo sapiens GN=RPA1 PE=1 SV=2 - [RFA1_HUMAN],5,0.21454456,-0.037426095,0.095745627,0.202974968,0.18862388,0.296617006,0.201272631,0.181240315,0.309580452
P27695,DNA-(apurinic or apyrimidinic site) lyase OS=Homo sapiens GN=APEX1 PE=1 SV=2 - [APEX1_HUMAN],2,0.801254723,-0.068082123,-0.115113314,0.129062573,0.809855983,0.640339258,0.294532559,0.86722198,0.306410853
Q9NSD9,Phenylalanine--tRNA ligase beta subunit OS=Homo sapiens GN=FARSB PE=1 SV=3 - [SYFB_HUMAN],4,0.296132094,-0.018591688,-0.25925429,0.155278225,0.263521063,0.24726709,0.154769528,0.392137097,0.302173861
P58546,Myotrophin OS=Homo sapiens GN=MTPN PE=1 SV=2 - [MTPN_HUMAN],16,-0.052692894,0.145708764,0.113347943,0.123761789,0.224060277,0.126053503,0.0463228,-0.003791579,0.302173861
P52294,Importin subunit alpha-5 OS=Homo sapiens GN=KPNA1 PE=1 SV=3 - [IMA5_HUMAN],6,-0.195256291,0.094724835,0.018802307,0.084282596,0.131117552,0.099953785,0.057009479,-0.233797185,0.296860061
Q9UJZ1,"Stomatin-like protein 2, mitochondrial OS=Homo sapiens GN=STOML2 PE=1 SV=1 - [STML2_HUMAN]",3,0.462195933,0.279564511,0.487089637,0.204649599,0.350840787,0.309328058,0.390602206,0.262403168,0.294729048
Q9Y3U8,60S ribosomal protein L36 OS=Homo sapiens GN=RPL36 PE=1 SV=3 - [RL36_HUMAN],2,-0.16764406,-0.081701732,0.007260685,-0.118534287,-0.038474148,-0.110780431,-0.06513763,-0.164256251,0.293662361
Q14699,Raftlin OS=Homo sapiens GN=RFTN1 PE=1 SV=4 - [RFTN1_HUMAN],3,-0.655123572,0.111920451,-0.37909406,-0.118534287,-0.237560798,-0.264289469,-0.15169545,-0.584962501,0.293662361
P67775,Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform OS=Homo sapiens GN=PPP2CA PE=1 SV=1 - [PP2AA_HUMAN],2,-0.212786216,0.027445882,-0.163207602,-0.005797845,0.048812249,0.00625899,-0.005548834,-0.216095183,0.289387706
P23193,Transcription elongation factor A protein 1 OS=Homo sapiens GN=TCEA1 PE=1 SV=2 - [TCEA1_HUMAN],2,0.079923544,0.001846059,0.037362717,0.111317023,0.17575408,0.190683562,0.213265177,0.154273267,0.287245619
P63208,S-phase kinase-associated protein 1 OS=Homo sapiens GN=SKP1 PE=1 SV=2 - [SKP1_HUMAN],9,0.077041036,0.073815846,-0.060957544,-0.007735649,0.337034987,0.185177085,0.184313803,-0.030615367,0.286173382
P61289,Proteasome activator complex subunit 3 OS=Homo sapiens GN=PSME3 PE=1 SV=1 - [PSME3_HUMAN],4,-0.184839675,0.162310731,0.20713009,-0.051039433,-0.137795597,-0.070702991,0.019254557,-0.168505724,0.285100347
O75781,Paralemmin-1 OS=Homo sapiens GN=PALM PE=1 SV=2 - [PALM_HUMAN],4,0.727805595,0.038279688,-0.056408843,0.113101433,0.657112286,0.546827372,0.21087463,0.593770958,0.284026514
Q9NYU2,UDP-glucose:glycoprotein glucosyltransferase 1 OS=Homo sapiens GN=UGGT1 PE=1 SV=3 - [UGGG1_HUMAN],4,-0.16764406,-0.048845904,0.163602714,-0.011619083,0.413576542,0.281214422,0.12714528,-0.155794673,0.282951881
Q9UDY2,Tight junction protein ZO-2 OS=Homo sapiens GN=TJP2 PE=1 SV=2 - [ZO2_HUMAN],2,0.147430364,0.370960839,0.427719818,0.263677175,0.082299905,0.079322453,0.319156346,0.191224403,0.28080021
Q96IZ0,PRKC apoptosis WT1 regulator protein OS=Homo sapiens GN=PAWR PE=1 SV=1 - [PAWR_HUMAN],19,-0.033874866,0.029257176,0.02739833,0.08246216,0.186059089,0.114511881,0.085996108,0.003781641,0.28080021
P25398,40S ribosomal protein S12 OS=Homo sapiens GN=RPS12 PE=1 SV=3 - [RS12_HUMAN],2,-0.071759626,-0.016721701,0.420123813,0.312640326,0.671852594,0.767378446,0.622318864,0.790487468,0.27972317
P05388,60S acidic ribosomal protein P0 OS=Homo sapiens GN=RPLP0 PE=1 SV=1 - [RLA0_HUMAN],14,-0.027656343,0.012873081,-0.001456532,0.067815384,0.162768439,0.143194636,0.106717398,0.033683126,0.277566675
P61160,Actin-related protein 2 OS=Homo sapiens GN=ACTR2 PE=1 SV=1 - [ARP2_HUMAN],11,-0.16764406,0.245689645,0.305824787,0.196256934,0.144389909,0.091147888,0.11441179,-0.118319967,0.277566675
Q16643,Drebrin OS=Homo sapiens GN=DBN1 PE=1 SV=4 - [DREB_HUMAN],9,-0.036994207,0.096453649,-0.119851233,0.125530882,0.258647089,0.111611991,0.09380151,0.003781641,0.275406951
Q01082,"Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTBN1 PE=1 SV=2 - [SPTB2_HUMAN]",7,0.308473444,-0.077797278,-0.148610226,0.08246216,0.441801725,0.281214422,0.225158856,0.246531775,0.273243989
P62333,26S protease regulatory subunit 10B OS=Homo sapiens GN=PSMC6 PE=1 SV=1 - [PRS10_HUMAN],3,0.015138597,-0.137503524,-0.211274261,-0.129041945,0.165374934,0.046293652,0.054345222,0.17118665,0.27107778
P07237,Protein disulfide-isomerase OS=Homo sapiens GN=P4HB PE=1 SV=3 - [PDIA1_HUMAN],2,0.421869533,-0.041222663,-0.03387801,-0.02529402,0.592729384,0.392914688,0.043638716,0.409346387,0.264559569
P0DN79,Cystathionine beta-synthase-like protein OS=Homo sapiens GN=CBSL PE=3 SV=1 - [CBSL_HUMAN],10,0.030119988,0.290178185,0.240784113,0.181025995,0.201379888,0.137503524,0.119518681,0.080988841,0.260197676
P63279,SUMO-conjugating enzyme UBC9 OS=Homo sapiens GN=UBE2I PE=1 SV=1 - [UBC9_HUMAN],5,1.423005066,0.521391825,1.452932085,0.865675387,0.974960254,1.108706259,0.645516687,0.942052651,0.254726698
P04632,Calpain small subunit 1 OS=Homo sapiens GN=CAPNS1 PE=1 SV=1 - [CPNS1_HUMAN],2,-0.669574728,0.183611556,0.262791753,0.165632541,-0.329981729,-0.381965678,-0.198591075,-0.596367264,0.254726698
O00743,Serine/threonine-protein phosphatase 6 catalytic subunit OS=Homo sapiens GN=PPP6C PE=1 SV=1 - [PPP6_HUMAN],5,0.201369171,0.193337627,0.12407435,0.27647278,0.136441156,0.255172288,0.220413144,0.236924447,0.253630009
P05198,Eukaryotic translation initiation factor 2 subunit 1 OS=Homo sapiens GN=EIF2S1 PE=1 SV=3 - [IF2A_HUMAN],2,0.169248474,0.047246125,-0.186212339,0.304854582,0.494576264,0.432959407,0.371465219,0.095237797,0.253630009
Q15056,Eukaryotic translation initiation factor 4H OS=Homo sapiens GN=EIF4H PE=1 SV=5 - [IF4H_HUMAN],19,0.125277221,0.021998318,-0.130967265,0.13258564,0.193739826,0.15168943,0.129678547,0.080988841,0.253630009
Q02543,60S ribosomal protein L18a OS=Homo sapiens GN=RPL18A PE=1 SV=2 - [RL18A_HUMAN],3,-0.513703818,0.111920451,-0.06247697,-0.02529402,-0.038474148,-0.183711953,-0.050724972,-0.470359379,0.253630009
Q6IAA8,Ragulator complex protein LAMTOR1 OS=Homo sapiens GN=LAMTOR1 PE=1 SV=2 - [LTOR1_HUMAN],2,-0.084612228,0.041872953,0.043025904,0.047430144,0.090551758,0.034093199,-0.002771749,-0.198607756,0.249234895
P35268,60S ribosomal protein L22 OS=Homo sapiens GN=RPL22 PE=1 SV=2 - [RL22_HUMAN],3,0.082800305,0.233171605,0.114693114,0.036188308,0.206450877,0.185177085,0.164684997,0.318136516,0.24592975
P35579,Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4 - [MYH9_HUMAN],2,0.237961224,0.167254294,0.028826035,0.067815384,0.120411046,0.349266803,0.201272631,0.181240315,0.24482635
Q6FI81,Anamorsin OS=Homo sapiens GN=CIAPIN1 PE=1 SV=2 - [CPIN1_HUMAN],4,0.139162748,-0.101384098,-0.083918692,0.181025995,0.18862388,0.094089163,0.02198435,0.041062657,0.24482635
P25787,Proteasome subunit alpha type-2 OS=Homo sapiens GN=PSMA2 PE=1 SV=2 - [PSA2_HUMAN],6,-0.160822794,0.140690689,0.125409561,0.045562577,0.120411046,-0.018941564,-0.047859639,-0.110122814,0.24482635
P29966,Myristoylated alanine-rich C-kinase substrate OS=Homo sapiens GN=MARCKS PE=1 SV=4 - [MARCS_HUMAN],9,0.27364808,0.215780002,-0.18952888,0.04369259,0.353128963,0.223288227,0.157254791,0.164445072,0.242617016
P55060,Exportin-2 OS=Homo sapiens GN=CSE1L PE=1 SV=3 - [XPO2_HUMAN],2,0.547968293,0.80656303,0.290432736,0.165632541,0.294806752,0.390524141,0.480671992,0.633367133,0.241511079
P49589,"Cysteine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=CARS PE=1 SV=3 - [SYCC_HUMAN]",4,-0.046392905,-0.041222663,-0.197853745,-0.059054426,0.090551758,0.140351886,0.005527574,0.066597749,0.241511079
Q9UHD8,Septin-9 OS=Homo sapiens GN=SEPT9 PE=1 SV=2 - [SEPT9_HUMAN],15,-0.015299136,0.014702752,-0.184556922,0.053018382,0.282853949,0.162938571,0.14978612,0.041062657,0.240404293
P08574,"Cytochrome c1, heme protein, mitochondrial OS=Homo sapiens GN=CYC1 PE=1 SV=3 - [CY1_HUMAN]",3,0.442173629,0.011041087,-0.111963324,0.022961148,0.382549647,0.402437462,0.310250792,0.484344535,0.238188171
P55884,Eukaryotic translation initiation factor 3 subunit B OS=Homo sapiens GN=EIF3B PE=1 SV=3 - [EIF3B_HUMAN],6,0.190741535,0.211000224,0.043025904,0.028644787,0.443950191,0.437598302,0.213265177,0.217515701,0.238188171
P08754,Guanine nucleotide-binding protein G(k) subunit alpha OS=Homo sapiens GN=GNAI3 PE=1 SV=3 - [GNAI3_HUMAN],4,0.437686238,0.038279688,-0.105683901,0.146592498,0.275634443,0.143194636,0.147287946,0.150866666,0.238188171
P32322,"Pyrroline-5-carboxylate reductase 1, mitochondrial OS=Homo sapiens GN=PYCR1 PE=1 SV=2 - [P5CR1_HUMAN]",9,-0.226965151,0.056157179,0.061279223,0.003852325,0.043154614,0.015596855,0.030142873,-0.164256251,0.238188171
P82979,SAP domain-containing ribonucleoprotein OS=Homo sapiens GN=SARNP PE=1 SV=3 - [SARNP_HUMAN],2,-0.184839675,0.113628793,0.141336438,-0.019417454,0.082299905,-0.022122811,-0.062243557,0.03737761,0.237078832
Q9UHB7,AF4/FMR2 family member 4 OS=Homo sapiens GN=AFF4 PE=1 SV=1 - [AFF4_HUMAN],3,-0.140550399,0.214188502,0.181685073,0.07515736,0.087806381,0.018696094,0.129678547,-0.181329765,0.233745689
Q07021,"Complement component 1 Q subcomponent-binding protein, mitochondrial OS=Homo sapiens GN=C1QBP PE=1 SV=1 - [C1QBP_HUMAN]",6,0.119685373,0.154033629,0.048666947,0.049295296,0.234027122,0.371255807,0.257948791,0.371796649,0.230404826
Q3ZCQ8,Mitochondrial import inner membrane translocase subunit TIM50 OS=Homo sapiens GN=TIMM50 PE=1 SV=2 - [TIM50_HUMAN],20,0.158380663,0.077321789,-0.03387801,0.107741569,0.304298201,0.233994733,0.172077131,0.161062433,0.230404826
P60866,40S ribosomal protein S20 OS=Homo sapiens GN=RPS20 PE=1 SV=1 - [RS20_HUMAN],3,-0.263034406,0.168898391,0.22841101,0.105950513,0.117721959,-0.090602549,0.013779427,-0.256234574,0.229289484
P61313,60S ribosomal protein L15 OS=Homo sapiens GN=RPL15 PE=1 SV=2 - [RL15_HUMAN],2,-0.071759626,0.603925481,-0.06247697,0.616755216,-0.102877181,-0.216133431,0.191606296,-0.085807154,0.22705621
P60903,Protein S100-A10 OS=Homo sapiens GN=S100A10 PE=1 SV=2 - [S10AA_HUMAN],2,-0.285116904,-0.276023388,-0.068570728,0.036188308,-0.099744291,0.154509949,-0.182789219,-0.2472177,0.22705621
O15400,Syntaxin-7 OS=Homo sapiens GN=STX7 PE=1 SV=4 - [STX7_HUMAN],2,0.38038343,0.236311313,0.064067041,0.144849059,0.492501936,0.485426827,0.328007263,0.565904165,0.224819473
Q9H2M9,Rab3 GTPase-activating protein non-catalytic subunit OS=Homo sapiens GN=RAB3GAP2 PE=1 SV=1 - [RBGPR_HUMAN],2,-0.421137699,0.290178185,0.050073768,0.144849059,-0.023554728,-0.034918416,-0.157860823,-0.439220867,0.224819473
Q9Y617,Phosphoserine aminotransferase OS=Homo sapiens GN=PSAT1 PE=1 SV=2 - [SERC_HUMAN],5,-0.216317907,0.172180975,0.040197089,0.053018382,0.014528774,-0.018941564,0.062323279,0.007553394,0.223699803
