Accession,Description,A6..114.115_norm_log2,A6..114.116_norm_log2,A6..114.117_norm_log2,B6..114.115_norm_log2,B6..114.116_norm_log2,B6..114.117_norm_log2,Sum...Unique.Peptides.
O88850,Homeodomain-interacting protein kinase 3 OS=Rattus norvegicus GN=Hipk3 PE=1 SV=1 - [HIPK3_RAT],0.507876218,1.049166057,0.821834186,0.522391412,0.606866342,0.497992921,13
Q62952,Dihydropyrimidinase-related protein 3 OS=Rattus norvegicus GN=Dpysl3 PE=1 SV=2 - [DPYL3_RAT],0.118709616,0.224863495,0.219343399,0.108710977,0.53209206,0.493471375,2
P62856,40S ribosomal protein S26 OS=Rattus norvegicus GN=Rps26 PE=3 SV=3 - [RS26_RAT],-0.00495772,0.69361705,0.525311863,0.075783834,0.692454898,0.491529223,3
Q9WVC0,Septin-7 OS=Rattus norvegicus GN=Sept7 PE=1 SV=1 - [SEPT7_RAT],0.290406193,0.498421087,0.457923312,0.234377496,0.800276654,0.471962534,15
P06866,Haptoglobin OS=Rattus norvegicus GN=Hp PE=1 SV=3 - [HPT_RAT],0.587434986,0.40780593,0.534336428,0.755104165,0.17375384,0.467358534,5
P62076,Mitochondrial import inner membrane translocase subunit Tim13 OS=Rattus norvegicus GN=Timm13 PE=3 SV=1 - [TIM13_RAT],-0.009932535,0.182268536,0.159092518,0,0.748483437,0.453457718,2
P62271,40S ribosomal protein S18 OS=Rattus norvegicus GN=Rps18 PE=1 SV=3 - [RS18_RAT],0.289394131,-0.008682243,0.038567656,0.247249946,0.011147731,0.453457718,3
P38062,Methionine aminopeptidase 2 OS=Rattus norvegicus GN=Metap2 PE=1 SV=2 - [MAP2_RAT],-0.159446077,-0.030128105,-0.318083666,0.019178102,0.212902291,0.447458977,3
P18297,Sepiapterin reductase OS=Rattus norvegicus GN=Spr PE=1 SV=1 - [SPRE_RAT],0.154722595,0.142740172,0.337479098,0.521168962,0.21852371,0.433364147,4
Q3BCU4,Blood vessel epicardial substance OS=Rattus norvegicus GN=Bves PE=1 SV=2 - [POPD1_RAT],0.258697334,-0.00965017,0.31575562,0.462088418,-0.973205662,0.433364147,3
P38983,40S ribosomal protein SA OS=Rattus norvegicus GN=Rpsa PE=1 SV=3 - [RSSA_RAT],0.662834764,0.593911457,0.548173383,0.489016142,0.42224692,0.432689518,3
Q8CIN7,Inositol monophosphatase 2 OS=Rattus norvegicus GN=Impa2 PE=2 SV=1 - [IMPA2_RAT],-0.136143132,-0.367111404,-0.066663036,-0.060942764,0.356027234,0.429987841,3
Q6AY80,Ribosyldihydronicotinamide dehydrogenase [quinone] OS=Rattus norvegicus GN=Nqo2 PE=1 SV=3 - [NQO2_RAT],0.553271971,0.228151691,0.458785395,0.719306928,0.316883375,0.421172285,4
Q5HZY2,GTP-binding protein SAR1b OS=Rattus norvegicus GN=Sar1b PE=2 SV=1 - [SAR1B_RAT],0.553271971,0.528071165,0.200912694,0.813859194,0.50671819,0.414354243,4
Q6PEC4,S-phase kinase-associated protein 1 OS=Rattus norvegicus GN=Skp1 PE=1 SV=3 - [SKP1_RAT],0.046267604,0.123445483,0.248550789,-0.258128467,0.591475808,0.400620727,3
Q5XI97,Alanyl-tRNA editing protein Aarsd1 OS=Rattus norvegicus GN=Aarsd1 PE=1 SV=1 - [AASD1_RAT],0.127797489,0.327304127,0.427421224,0.147256514,0.501457673,0.395090504,7
P34926,Microtubule-associated protein 1A OS=Rattus norvegicus GN=Map1a PE=1 SV=1 - [MAP1A_RAT],0.001236773,0.102098188,0.056902391,0.109795711,0.447085898,0.393011193,7
P42123,L-lactate dehydrogenase B chain OS=Rattus norvegicus GN=Ldhb PE=1 SV=2 - [LDHB_RAT],-0.316987354,-0.603840511,-0.328457481,-0.16008617,0.508030327,0.392317423,4
P62268,40S ribosomal protein S23 OS=Rattus norvegicus GN=Rps23 PE=1 SV=3 - [RS23_RAT],0.196352219,0.542010356,0.4639471,-0.264439172,0.710804208,0.380471997,5
O88600,Heat shock 70 kDa protein 4 OS=Rattus norvegicus GN=Hspa4 PE=1 SV=1 - [HSP74_RAT],-0.077521419,0.345585619,0.232509539,0.210306947,0.475534328,0.371347649,4
P62836,Ras-related protein Rap-1A OS=Rattus norvegicus GN=Rap1a PE=1 SV=1 - [RAP1A_RAT],0.154722595,-0.066931008,0.026988982,0.211317946,0.253365459,0.367822861,3
P61206,ADP-ribosylation factor 3 OS=Rattus norvegicus GN=Arf3 PE=2 SV=2 - [ARF3_RAT],-0.012426391,-0.043943348,0.215267987,-0.053030896,-0.023504838,0.35719653,3
Q9Z1P2,Alpha-actinin-1 OS=Rattus norvegicus GN=Actn1 PE=1 SV=1 - [ACTN1_RAT],0.230500442,0.333423734,0.505423736,0.488182214,-0.118511278,0.35719653,2
P83941,Transcription elongation factor B polypeptide 1 OS=Rattus norvegicus GN=Tceb1 PE=1 SV=1 - [ELOC_RAT],0.229445454,0.165215205,0.429181682,0.321694062,-0.268827994,0.355061839,2
P48500,Triosephosphate isomerase OS=Rattus norvegicus GN=Tpi1 PE=1 SV=2 - [TPIS_RAT],0.234712693,0.462575888,0.573068822,0.200666959,0.635363452,0.354349573,2
P62260,14-3-3 protein epsilon OS=Rattus norvegicus GN=Ywhae PE=1 SV=1 - [1433E_RAT],0.345003852,0.492280498,0.512083621,0.239837556,0.195091015,0.351496986,2
P63322,Ras-related protein Ral-A OS=Rattus norvegicus GN=Rala PE=1 SV=1 - [RALA_RAT],-0.016175276,0.051024003,-0.008315268,-0.210642207,0.989235316,0.342905229,4
P35281,Ras-related protein Rab-10 OS=Rattus norvegicus GN=Rab10 PE=1 SV=1 - [RAB10_RAT],0.006173287,0.166929638,0.154843045,0.014552222,-0.304086782,0.327745421,2
Q64057,Alpha-aminoadipic semialdehyde dehydrogenase OS=Rattus norvegicus GN=Aldh7a1 PE=1 SV=2 - [AL7A1_RAT],-0.072308423,-0.309955453,-0.022682474,0.299523717,0.024962344,0.327019537,3
P06302,Prothymosin alpha OS=Rattus norvegicus GN=Ptma PE=1 SV=2 - [PTMA_RAT],-0.0606476,-0.068947354,0.187453654,-0.17453952,0.561457663,0.321199277,3
P29975,Aquaporin-1 OS=Rattus norvegicus GN=Aqp1 PE=1 SV=4 - [AQP1_RAT],-0.078827616,0.083156624,-0.086648742,0.36549229,0.155449505,0.320470091,2
P62963,Profilin-1 OS=Rattus norvegicus GN=Pfn1 PE=1 SV=2 - [PROF1_RAT],NA,NA,NA,-0.045162182,-0.121551732,0.316818621,3
P62982,Ubiquitin-40S ribosomal protein S27a OS=Rattus norvegicus GN=Rps27a PE=1 SV=2 - [RS27A_RAT],-0.192998636,0.094010807,-0.055541563,0.193522363,0.258052074,0.313890776,3
Q5RK27,Solute carrier family 12 member 7 OS=Rattus norvegicus GN=Slc12a7 PE=2 SV=2 - [S12A7_RAT],-0.001237834,-0.164884385,0.147376215,-0.084321703,-0.081529885,0.310222594,4
P97834,COP9 signalosome complex subunit 1 OS=Rattus norvegicus GN=Gps1 PE=1 SV=1 - [CSN1_RAT],-0.049080273,-0.148800661,-0.105640175,0.240332902,0.298802365,0.309487837,3
P06536-2,Isoform B of Glucocorticoid receptor OS=Rattus norvegicus GN=Nr3c1 - [GCR_RAT],0.207110621,0.064882852,0.32713041,0.238846353,0.193460851,0.3080172,5
P97700,Mitochondrial 2-oxoglutarate/malate carrier protein OS=Rattus norvegicus GN=Slc25a11 PE=1 SV=3 - [M2OM_RAT],-0.006199816,0.01720929,0.050054142,-0.031344884,0.344321733,0.295455884,3
P97852,Peroxisomal multifunctional enzyme type 2 OS=Rattus norvegicus GN=Hsd17b4 PE=1 SV=3 - [DHB4_RAT],-0.074912566,-0.057892165,0.167554097,0.175504528,0.057587492,0.290251619,2
Q9R1U5,Serine/threonine-protein kinase SIK1 OS=Rattus norvegicus GN=Sik1 PE=1 SV=1 - [SIK1_RAT],0.082943253,0.134878054,0.207082461,0.249220168,0.240003437,0.283532716,6
P19139,Casein kinase II subunit alpha OS=Rattus norvegicus GN=Csnk2a1 PE=1 SV=2 - [CSK21_RAT],0.098050146,0.509273569,0.393557772,-0.336480851,0.474192286,0.279786427,2
Q9QYL8,Acyl-protein thioesterase 2 OS=Rattus norvegicus GN=Lypla2 PE=1 SV=1 - [LYPA2_RAT],0.227333163,0.002882509,0.300448367,-0.014700505,0.033188059,0.276030385,18
P60892,Ribose-phosphate pyrophosphokinase 1 OS=Rattus norvegicus GN=Prps1 PE=1 SV=2 - [PRPS1_RAT],-0.027480736,0.197446064,0.273263538,0.161972657,0.340644201,0.271510188,4
Q7TS56,Carbonyl reductase family member 4 OS=Rattus norvegicus GN=Cbr4 PE=2 SV=1 - [CBR4_RAT],0.277193677,-0.280451459,0.063718286,0.320757551,-0.210473731,0.267732508,9
P24268,Cathepsin D OS=Rattus norvegicus GN=Ctsd PE=1 SV=1 - [CATD_RAT],NA,NA,NA,-0.298570563,0.496838934,0.260907657,3
O54924,Exocyst complex component 8 OS=Rattus norvegicus GN=Exoc8 PE=1 SV=1 - [EXOC8_RAT],-0.151178461,0.021953441,0.230491783,0.392930186,0.00372549,0.259386629,4
Q9JK11-3,Isoform 3 of Reticulon-4 OS=Rattus norvegicus GN=Rtn4 - [RTN4_RAT],0.114144122,0.198284597,0.286919983,-0.204562003,0.478883981,0.254813899,5
P13676,Acylamino-acid-releasing enzyme OS=Rattus norvegicus GN=Apeh PE=1 SV=1 - [ACPH_RAT],0.109564134,-0.01449957,0.188493435,0.113045025,0.174580362,0.247927513,2
P29315,Ribonuclease inhibitor OS=Rattus norvegicus GN=Rnh1 PE=1 SV=2 - [RINI_RAT],-0.073609907,0.054732733,0.059177936,0.156209204,-0.159587221,0.247160326,3
P62250,40S ribosomal protein S16 OS=Rattus norvegicus GN=Rps16 PE=1 SV=2 - [RS16_RAT],0.136828473,-0.171368418,0.251538767,-0.013518936,0.073627503,0.245624728,3
Q5XIB3,[Protein ADP-ribosylarginine] hydrolase-like protein 1 OS=Rattus norvegicus GN=Adprhl1 PE=2 SV=1 - [ARHL1_RAT],0.065313359,0.358396262,0.119298928,0.13931068,0.002795019,0.245624728,4
A9UMV8,Histone H2A.J OS=Rattus norvegicus GN=H2afj PE=2 SV=1 - [H2AJ_RAT],0.100360306,0.776805859,0.297560088,-0.072584877,0.509996298,0.24331826,8
P63326,40S ribosomal protein S10 OS=Rattus norvegicus GN=Rps10 PE=2 SV=1 - [RS10_RAT],-0.054209861,-0.007714965,-0.025090981,0.30805479,0.072741054,0.24331826,5
P47727,Carbonyl reductase [NADPH] 1 OS=Rattus norvegicus GN=Cbr1 PE=1 SV=2 - [CBR1_RAT],-0.04269383,0.413594082,0.145235718,0.321694062,0.44022897,0.2410081,3
Q9EQP5,Prolargin OS=Rattus norvegicus GN=Prelp PE=2 SV=1 - [PRELP_RAT],0.051052666,-0.59946207,0.145235718,0.270231848,-0.619409513,0.2410081,5
B0BNM1,NAD(P)H-hydrate epimerase OS=Rattus norvegicus GN=Apoa1bp PE=2 SV=1 - [NNRE_RAT],0.093418697,-0.118204885,0.155906588,0.12650561,-0.025401873,0.240237223,22
Q64560,Tripeptidyl-peptidase 2 OS=Rattus norvegicus GN=Tpp2 PE=2 SV=3 - [TPP2_RAT],0.087608399,-1.53951953,-0.067904065,0.313243498,-1.523795119,0.239465935,5
P67779,Prohibitin OS=Rattus norvegicus GN=Phb PE=1 SV=1 - [PHB_RAT],-0.080134998,0.028569152,0.14309204,0.062959794,-0.070715766,0.238694234,10
P63100,Calcineurin subunit B type 1 OS=Rattus norvegicus GN=Ppp3r1 PE=1 SV=2 - [CANB1_RAT],0.053439259,-0.013528385,0.149513541,0.192498812,0.159630021,0.237149592,4
P62425,60S ribosomal protein L7a OS=Rattus norvegicus GN=Rpl7a PE=1 SV=2 - [RL7A_RAT],0.053439259,-0.064917477,0.16544335,-0.17124193,0.171271427,0.235603295,2
P42346,Serine/threonine-protein kinase mTOR OS=Rattus norvegicus GN=Mtor PE=1 SV=1 - [MTOR_RAT],0.190942783,0.084971335,0.207082461,0.161449657,0.310129524,0.231730286,2
Q5U300,Ubiquitin-like modifier-activating enzyme 1 OS=Rattus norvegicus GN=Uba1 PE=1 SV=1 - [UBA1_RAT],-0.001237834,0.424384672,0.060314364,0.072449406,0.263500618,0.231730286,5
Q9Z0W7,Chloride intracellular channel protein 4 OS=Rattus norvegicus GN=Clic4 PE=1 SV=3 - [CLIC4_RAT],0.184424571,0.260627908,0.185371843,0.444139967,-0.079557643,0.231730286,2
P15791,Calcium/calmodulin-dependent protein kinase type II subunit delta OS=Rattus norvegicus GN=Camk2d PE=1 SV=1 - [KCC2D_RAT],0.122124281,0.061200156,0.308122295,0.048324447,-0.025401873,0.227846851,36
Q62862-3,Isoform Beta of Dual specificity mitogen-activated protein kinase kinase 5 OS=Rattus norvegicus GN=Map2k5 - [MP2K5_RAT],-0.271472694,-0.199807604,-0.299013703,0.067991481,0.282026652,0.227068909,2
Q8K4G6,O-acetyl-ADP-ribose deacetylase MACROD1 (Fragment) OS=Rattus norvegicus GN=Macrod1 PE=2 SV=2 - [MACD1_RAT],-0.008687222,-0.182240324,0.101745008,0.100003625,-0.046435573,0.225511763,2
P29314,40S ribosomal protein S9 OS=Rattus norvegicus GN=Rps9 PE=1 SV=4 - [RS9_RAT],-0.02622019,-0.14454178,0.085091937,0.15935576,-0.258750922,0.223952935,4
P31000,Vimentin OS=Rattus norvegicus GN=Vim PE=1 SV=2 - [VIME_RAT],0.262828174,0.993734737,0.616207794,-0.372381802,0.903591725,0.220830218,10
Q641Z4,Cyclin-dependent kinase 9 OS=Rattus norvegicus GN=Cdk9 PE=2 SV=1 - [CDK9_RAT],0.200665212,-0.258425153,0.010621116,0.424658417,-0.271076935,0.220048481,5
Q64122,Myosin regulatory light polypeptide 9 OS=Rattus norvegicus GN=Myl9 PE=1 SV=2 - [MYL9_RAT],0.142444265,0.189877259,0.246555359,0.097271765,0.414571136,0.216917291,10
P62870,Transcription elongation factor B polypeptide 2 OS=Rattus norvegicus GN=Tceb2 PE=1 SV=1 - [ELOB_RAT],-0.156684937,0.083156624,-0.048174594,0.224897536,0.180352799,0.216133431,3
O88794,Pyridoxine-5'-phosphate oxidase OS=Rattus norvegicus GN=Pnpo PE=1 SV=1 - [PNPO_RAT],0.109564134,0.219091058,0.164386818,0.146199595,0.421550806,0.215349144,4
B3GNI6-3,Isoform 3 of Septin-11 OS=Rattus norvegicus GN=Sept11 - [SEP11_RAT],0.046267604,0.024792461,0.114930431,0.357295137,0.631154711,0.211421304,7
P27881,Hexokinase-2 OS=Rattus norvegicus GN=Hk2 PE=1 SV=1 - [HXK2_RAT],-0.064524078,0.520715577,0.26737097,-0.101794002,0.242370452,0.211421304,2
Q63347,26S protease regulatory subunit 7 OS=Rattus norvegicus GN=Psmc2 PE=1 SV=3 - [PRS7_RAT],-0.097239654,-0.185517936,0.02815104,0.355924406,-0.031107991,0.21063445,4
P04905,Glutathione S-transferase Mu 1 OS=Rattus norvegicus GN=Gstm1 PE=1 SV=2 - [GSTM1_RAT],0.340124933,0.651989258,0.603011137,-0.249756906,-0.070715766,0.209059456,6
P36972,Adenine phosphoribosyltransferase OS=Rattus norvegicus GN=Aprt PE=1 SV=1 - [APT_RAT],-0.054209861,0.139251186,0.133405875,-0.336480851,0.570905601,0.208271313,5
Q63610-3,Isoform 3 of Tropomyosin alpha-3 chain OS=Rattus norvegicus GN=Tpm3 - [TPM3_RAT],0.208182062,0.409979209,0.25352732,0.041519269,0.282026652,0.208271313,5
P61980,Heterogeneous nuclear ribonucleoprotein K OS=Rattus norvegicus GN=Hnrnpk PE=1 SV=1 - [HNRPK_RAT],-0.103872746,-0.168122759,-0.077870909,0.049455529,0.213706693,0.205904299,2
P83732,60S ribosomal protein L24 OS=Rattus norvegicus GN=Rpl24 PE=2 SV=1 - [RL24_RAT],-0.278959452,-0.209784021,-0.009507086,0.020332258,0.136909944,0.203533394,12
Q5RJP0,Aldose reductase-related protein 1 OS=Rattus norvegicus GN=Akr1b7 PE=1 SV=1 - [ALD1_RAT],0.164691353,0.374807654,0.16544335,0.254133984,0.133513368,0.203533394,8
Q5U316,Ras-related protein Rab-35 OS=Rattus norvegicus GN=Rab35 PE=1 SV=1 - [RAB35_RAT],0.162482018,0.128733314,-0.038410123,0.336596145,0.204833506,0.201950624,6
P15865,Histone H1.4 OS=Rattus norvegicus GN=Hist1h1e PE=1 SV=3 - [H14_RAT],-0.137503524,0.050095329,0.113836237,-0.249756906,0.488221846,0.201158587,3
G3V9W2,Tyrosine-protein kinase OS=Rattus norvegicus GN=Jak1 PE=1 SV=1 - [G3V9W2_RAT],NA,NA,NA,0.022061763,0.475534328,0.201158587,3
Q7TQP6,Serine/threonine-protein kinase TNNI3K OS=Rattus norvegicus GN=Tnni3k PE=2 SV=3 - [TNI3K_RAT],-0.007442983,0.59454855,0.051197777,1.332420469,-0.102402861,0.200366115,2
P63031,Mitochondrial pyruvate carrier 1 OS=Rattus norvegicus GN=Mpc1 PE=3 SV=1 - [MPC1_RAT],0.042668363,-0.084160448,-0.016678741,0.066874844,-0.135825863,0.200366115,9
Q4V8H8,EH domain-containing protein 2 OS=Rattus norvegicus GN=Ehd2 PE=1 SV=1 - [EHD2_RAT],-0.047800721,-0.226566239,0.012970782,0.087394012,-0.305238635,0.197191867,29
P12749,60S ribosomal protein L26 OS=Rattus norvegicus GN=Rpl26 PE=1 SV=1 - [RL26_RAT],0.227333163,0.23388806,0.335603032,0.333349442,0.161298841,0.196397213,4
P12346,Serotransferrin OS=Rattus norvegicus GN=Tf PE=1 SV=3 - [TRFE_RAT],-0.11321061,-0.038006323,0.09177625,0.050020738,0.122418942,0.19480659,3
P30009,Myristoylated alanine-rich C-kinase substrate OS=Rattus norvegicus GN=Marcks PE=1 SV=2 - [MARCS_RAT],0.777710684,0.842643672,0.303330876,0.371835809,0.281259465,0.192417362,4
Q66HG9,Mitochondrial antiviral-signaling protein OS=Rattus norvegicus GN=Mavs PE=1 SV=1 - [MAVS_RAT],0.001236773,0.241230036,0.149513541,0.105995571,0.12156198,0.190024171,15
P05544,Serine protease inhibitor A3L OS=Rattus norvegicus GN=Serpina3l PE=1 SV=3 - [SPA3L_RAT],-0.088004263,-0.222071858,-0.04206406,0.147784684,0.061167382,0.190024171,9
P62832,60S ribosomal protein L23 OS=Rattus norvegicus GN=Rpl23 PE=2 SV=1 - [RL23_RAT],0.339147166,0.03796785,0.369921408,-0.109347396,-0.575666753,0.190024171,3
Q5FVM4,Non-POU domain-containing octamer-binding protein OS=Rattus norvegicus GN=Nono PE=1 SV=3 - [NONO_RAT],NA,NA,NA,-0.099284966,0.126696131,0.189225557,2
P63095,Guanine nucleotide-binding protein G(s) subunit alpha isoforms short OS=Rattus norvegicus GN=Gnas PE=1 SV=1 - [GNAS2_RAT],-0.191584922,-0.246966037,-0.117156206,-0.143835773,0.266604859,0.188426502,10
P62752,60S ribosomal protein L23a OS=Rattus norvegicus GN=Rpl23a PE=2 SV=1 - [RL23A_RAT],0.043869108,0.172914159,0.284976959,0.219380531,0.08598093,0.185225846,9
P97541,Heat shock protein beta-6 OS=Rattus norvegicus GN=Hspb6 PE=1 SV=1 - [HSPB6_RAT],-0.252187024,-0.36215794,0.229481846,0.080217783,0.091243046,0.184424571,2
Q05962,ADP/ATP translocase 1 OS=Rattus norvegicus GN=Slc25a4 PE=1 SV=3 - [ADT1_RAT],0.224158915,0.30723421,0.26540142,0.123823522,0.147051955,0.182820685,4
Q9ER24,Ataxin-10 OS=Rattus norvegicus GN=Atxn10 PE=1 SV=1 - [ATX10_RAT],0.082943253,0.130491626,-0.037194198,0.002338242,0.076283585,0.180411509,2
P11598,Protein disulfide-isomerase A3 OS=Rattus norvegicus GN=Pdia3 PE=1 SV=2 - [PDIA3_RAT],0.042668363,0.065802058,0.004730152,0.253643355,-0.089445928,0.180411509,6
P35565,Calnexin OS=Rattus norvegicus GN=Canx PE=1 SV=1 - [CALX_RAT],0.081774606,-0.074000581,-0.017877491,0.213842347,0.135212656,0.179607555,3
P35704,Peroxiredoxin-2 OS=Rattus norvegicus GN=Prdx2 PE=1 SV=3 - [PRDX2_RAT],-0.02622019,-0.072988519,-0.065423075,-0.048183534,0.045891116,0.177193002,6
P62282,40S ribosomal protein S11 OS=Rattus norvegicus GN=Rps11 PE=1 SV=3 - [RS11_RAT],0.261796572,0.435095152,0.214247332,0.201175935,0.478883981,0.176387252,4
P80299,Bifunctional epoxide hydrolase 2 OS=Rattus norvegicus GN=Ephx2 PE=1 SV=1 - [HYES_RAT],0.315479731,-0.084160448,0.479322326,0.435946489,0.224921481,0.176387252,2
P00564,Creatine kinase M-type OS=Rattus norvegicus GN=Ckm PE=1 SV=2 - [KCRM_RAT],-0.221567789,0.315759427,0.261454236,-0.142543614,0.348722433,0.173967299,3
Q8VID1,Dehydrogenase/reductase SDR family member 4 OS=Rattus norvegicus GN=Dhrs4 PE=2 SV=2 - [DHRS4_RAT],-0.173331603,0.147957881,0.042023215,0.339835558,0.133513368,0.173967299,5
P11951,Cytochrome c oxidase subunit 6C-2 OS=Rattus norvegicus GN=Cox6c2 PE=1 SV=3 - [CX6C2_RAT],-0.08275332,-0.025225976,-0.132655317,0.138247921,0.21852371,0.172351739,12
P13084-2,Isoform B23.2 of Nucleophosmin OS=Rattus norvegicus GN=Npm1 - [NPM_RAT],-0.00495772,0.047305715,-0.065423075,0.038674277,0.134363262,0.17154328,3
P41123,60S ribosomal protein L13 OS=Rattus norvegicus GN=Rpl13 PE=1 SV=2 - [RL13_RAT],-0.007442983,0.108357178,-0.051853376,-0.024188052,0.462734241,0.170734368,8
Q4KM73,UMP-CMP kinase OS=Rattus norvegicus GN=Cmpk1 PE=1 SV=2 - [KCY_RAT],-0.038875491,-0.096447492,0.246555359,0.329629955,-0.272202721,0.170734368,8
